title,url,url2
3:10 to Yuma (2007),/en/subtitles/en-310-to-yuma-2007/a3QE/download,/en/subtitles/en-310-to-yuma-2007/a3QE/download
Dances with Wolves (1990),/en/subtitles/en-dances-with-wolves-1990/w_gF/download,/en/subtitles/en-dances-with-wolves-1990/o7gE/download
Brimstone (2016),/en/subtitles/en-brimstone-2016/LKJD/download,/en/subtitles/en-brimstone-2016/-7JD/download
True Grit (2010),/en/subtitles/en-true-grit-2010/DuAP/download,/en/subtitles/en-true-grit-2010/DuAP/download
,,
Unforgiven (1992),/en/subtitles/en-unforgiven-1992/lJER/download,/en/subtitles/en-unforgiven-1992/dEZE/download
Red River (1948),/en/subtitles/en-red-river-1948/9i4/download,/en/subtitles/en-red-river-1948/9i4/download
Open Range (2003),/en/subtitles/en-open-range-2003/idsG/download,/en/subtitles/en-open-range-2003/idsG/download
C'era una volta il West (1968),/en/subtitles/en-c%27era-una-volta-il-west-1968/Z20S/download,/en/subtitles/en-c%27era-una-volta-il-west-1968/Z20S/download
Bone Tomahawk (2015),/en/subtitles/en-bone-tomahawk-2015/Zbk-/download,/en/subtitles/en-bone-tomahawk-2015/Zbk-/download
"Cowboys, The (1972)",/en/subtitles/en-cowboys-the-1972/NUcH/download,/en/subtitles/en-cowboys-the-1972/NUcH/download
Silverado (1985),/en/subtitles/en-silverado-1985/xakX/download,/en/subtitles/en-silverado-1985/xakX/download
Churchill (2017),/en/subtitles/en-churchill-2017/BtBE/download,/en/subtitles/en-churchill-2017/BtBE/download
Spartacus (1960),/en/subtitles/en-spartacus-1960/lFcI/download,/en/subtitles/en-spartacus-1960/vQA-/download
The Patriot (2000),/en/subtitles/en-the-patriot-2000/Y30F/download,/en/subtitles/en-the-patriot-2000/Y30F/download
Casablanca (1942),/en/subtitles/en-casablanca-1942/ebcN/download,/en/subtitles/en-casablanca-1942/ebcN/download
The Zookeeper's Wife (2017),/en/subtitles/en-the-zookeeper%27s-wife-2017/MG1E/download,/en/subtitles/en-the-zookeeper%27s-wife-2017/QD9C/download
Lone Survivor (2013),/en/subtitles/en-lone-survivor-2013/ywcu/download,/en/subtitles/en-lone-survivor-2013/0kMr/download
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),/en/subtitles/en-dr-strangelove-or-how-i-learned-to-stop-worrying-and-love-the-bomb-1964/LlYI/download,/en/subtitles/en-dr-strangelove-or-how-i-learned-to-stop-worrying-and-love-the-bomb-1964/LlYI/download
